"Time [ms]","Fx","Fy"
0,0.0151839507761013,-74.2106844712923
0.5,11.58568961054,-72.3622287725181
1,19.8119798086629,-68.0414877293523
1.5,24.9326930510302,-62.2290190757504
2,27.5191592765085,-55.8929912489419
2.5,28.221355055315,-49.6488981780822
3,27.6562072437477,-43.7278926173875
3.5,26.351861198093,-38.1282801106356
4,24.7242248594879,-32.823899542406
4.5,23.0741777393041,-27.9231534157518
5,21.5975415232013,-23.7141426607934
5.5,20.402042992131,-20.5863654475567
6,19.5271129418226,-18.8714316881311
6.5,18.9636366999077,-18.6771691605834
7,18.6717754385509,-19.7908805324235
7.5,18.5957713599547,-21.6989037290599
8,18.6752769687029,-23.722637501043
8.5,18.8532320416993,-25.2241887070555
9,19.0806585678246,-25.8059781759052
9.5,19.318954805831,-25.4291422176066
10,19.5403506953296,-24.4052385281507
10.5,19.7271568804637,-23.2632603158234
11,19.8703314513194,-22.5410877755482
11.5,19.967744021712,-22.5791882032598
12,20.0223771204269,-23.3935775841873
12.5,20.0406002836031,-24.6750015240556
13,20.0305949452195,-25.9133891911708
13.5,20.0009915013845,-26.5991183637183
14,19.9597834123583,-26.4236072603257
14.5,19.9135825977191,-25.4022757846226
15,19.8672578039164,-23.8727786933473
15.5,19.8239488580391,-22.3691972429939
16,19.7853856139452,-21.4203378066916
16.5,19.752382098559,-21.3493083027199
17,19.7253463586241,-22.1510546475648
17.5,19.7046589940667,-23.4947408987777
18,19.6908278193252,-24.8501430667315
18.5,19.6844065436837,-25.6898325731425
19,19.6857457246829,-25.6899601956516
19.5,19.6946977474402,-24.8529814750537
20,19.7104066341107,-23.5054870575654
20.5,19.7312762867536,-22.1720222993097
21,19.7551420168224,-21.3731676198333
21.5,19.7795956874146,-21.4250994106071
22,19.8023617519689,-22.3172989509256
22.5,19.8216085630266,-23.7152311691358
23,19.836109769094,-25.0870741066315
23.5,19.8452312605269,-25.906178585567
24,19.8487856763387,-25.8519827691124
24.5,19.8468429394856,-24.9326604320528
25,19.8395939236227,-23.482636857665
25.5,19.8273324731608,-22.0358629541707
26,19.8105618706995,-21.1231592876509
26.5,19.7901694929088,-21.0709178107481
27,19.7675732343504,-21.8779151527692
27.5,19.7447422187337,-23.2171530574688
28,19.7240341191562,-24.5618964344874
28.5,19.7078578558817,-25.3876634673562
29,19.6982386566333,-25.3729442717305
29.5,19.6964063610139,-24.5219499861955
30,19.7025300919137,-23.1625182589456
30.5,19.7156811014143,-21.8200278942107
31,19.734035094879,-21.0155709441801
31.5,19.7552509405954,-21.0655879156659
32,19.7769111131126,-21.9596278174689
32.5,19.7968986223616,-23.3630559766311
33,19.8136183059613,-24.7437962750771
33.5,19.8260336752715,-25.5747955517845
34,19.8335594388688,-25.5349434680725
34.5,19.8358981988996,-24.6317339329671
35,19.8329198157807,-23.1988067842879
35.5,19.8246508596212,-21.7692620025729
36,19.8113827340047,-20.8730566946466
36.5,19.7938445830388,-20.8357684420593
37,19.7733465091506,-21.6554727394692
37.5,19.7517969711331,-23.0046429872628
38,19.7315373788777,-24.3562364401702
38.5,19.7150027388035,-25.1857145187767
39,19.7042849362986,-25.171769762561
39.5,19.7007188312953,-24.3190594481929
40,19.7046134777358,-22.9560725687768
40.5,19.7152095507944,-21.6089861865031
41,19.7308738163056,-20.7997648496332
41.5,19.7494674526582,-20.84571571351
42,19.7687739058443,-21.7371688773162
42.5,19.7868617848459,-23.1401136430849
43,19.8022917834024,-24.5228843124441
43.5,19.8141401601626,-25.3585887079612
44,19.8218803179342,-25.326016096998
44.5,19.8252122959469,-24.4323116138389
45,19.8239397202835,-23.0105544187186
45.5,19.8179622662678,-21.5931281310639
46,19.8073923360893,-20.7091881487514
46.5,19.7927416146412,-20.6835025161261
47,19.7750820316425,-21.5134065229699
47.5,19.756083525373,-22.8707720908896
48,19.737869807597,-24.228148795795
48.5,19.7226989986948,-25.0608198591988
49,19.7125437652084,-25.0475422611262
49.5,19.7086894153938,-24.1932700928626
50,19.7114709610324,-22.8269892117957
50.5,19.7202294913485,-21.4755226799433
51,19.7334986117459,-20.6615658786149
51.5,19.7493583585981,-20.7031703413475
52,19.7658435114994,-21.5913527819557
52.5,19.7812835811804,-22.9926668705068
53,19.7944855949247,-24.3758374422631
53.5,19.8047345063634,-25.214155047933
54,19.8116549990706,-25.1863704655245
54.5,19.8150264383476,-24.2993771811413
55,19.8146519723494,-22.8858179069182
55.5,19.810350657742,-21.4775005714147
56,19.8020814116561,-20.602923694744
56.5,19.7901438114676,-20.5861819960798
57,19.7753589456958,-21.42398606579
57.5,19.7591308283926,-22.7876908954593
58,19.7433273168483,-24.1494845397775
58.5,19.7299849850254,-24.9844758810354
59,19.7209102479947,-24.971447897279
59.5,19.7172931652225,-24.1155746456222
60,19.719453412138,-22.7462310137974
